id,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages
71,Alanna,The First Adventure,Tamora Pierce,Juvenile Fiction,http://books.google.com/books/content?id=_uvOvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""From now on I'm Alan of Trebond, the younger twin. I'll be a knight."" And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Disguised as a girl, Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page. But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies. Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins -- one that will leard to the fulfillment of her dreams and the magical destiny that will make her a legend in her land. Alanna's journey continues...",2005,4.27,274
72,New Threads in the Pattern,The Great Hunt,Robert Jordan,Juvenile Fiction,http://books.google.com/books/content?id=tSuNpN0SXFoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Rand a'Thor, the Dragon Reborn, continues his unlikely quest in these next chapters of Jordan's incredibly popular, award-winning Wheel of Time series. Reissue.",2004,4.27,464
73,Little Pilgrim's Progress,From John Bunyan's Classic,Helen L. Taylor,Juvenile Fiction,http://books.google.com/books/content?id=lxBomAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents an allegorical account of the Christian journey through life.,2006,4.25,336
74,The Pleasure of Finding Things Out,The Best Short Works of Richard P. Feynman,Richard Phillips Feynman,Science,http://books.google.com/books/content?id=s6LzV_U6PskC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A collection of short works by the noted scientist includes his report on the space shuttle Challenger disaster and his Nobel Prize acceptance speech.,1999,4.25,270
75,Shakespeare's Sonnets,Third Series,William Shakespeare,Drama,http://books.google.com/books/content?id=eMBwueQHR_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,No Marketing Blurb,1997,4.25,488
76,The Richness of Life,The Essential Stephen Jay Gould,Stephen Jay Gould,Science,http://books.google.com/books/content?id=yfXJhKmp1wUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Collects forty-four key segments from the late paleontologist and evolutionary biologist's books, papers, and essays, in a collection that includes an assortment of previously unpublished articles and speeches.",2007,4.25,672
77,The Presocratic Philosophers,A Critical History with a Selcetion of Texts,G. S. Kirk;J. E. Raven;M. Schofield,Philosophy,http://books.google.com/books/content?id=kFpd86J8PLsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This book traces the intellectual revolution initiated by Thales in the sixth century B.C. to its culmination in the metaphysics of Parmenides.,1983,4.24,518
78,"Power, Sex, Suicide",Mitochondria and the Meaning of Life,Nick Lane,Science,http://books.google.com/books/content?id=PzgTDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Mitochondria are tiny structures located inside our cells that carry out the essential task of producing energy for the cell. They are found in all complex living things, and in that sense, they are fundamental for driving complex life on the planet. But there is much more to them than that. Mitochondria have their own DNA, with their own small collection of genes, separate from those in the cell nucleus. It is thought that they were once bacteria living independent lives. Their enslavement within the larger cell was a turning point in the evolution of life, enabling the development of complex organisms and, closely related, the origin of two sexes. Unlike the DNA in the nucleus, mitochondrial DNA is passed down exclusively (or almost exclusively) via the female line. That's why it has been used by some researchers to trace human ancestry daughter-to-mother, to 'Mitochondrial Eve'. Mitochondria give us important information about our evolutionary history. And that's not all. Mitochondrial genes mutate much faster than those in the nucleus because of the free radicals produced in their energy-generating role. This high mutation rate lies behind our ageing and certain congenital diseases. The latest research suggests that mitochondria play a key role in degenerative diseases such as cancer, through their involvement in precipitating cell suicide. Mitochondria, then, are pivotal in power, sex, and suicide. In this fascinating and thought-provoking book, Nick Lane brings together the latest research findings in this exciting field to show how our growing understanding of mitochondria is shedding light on how complex life evolved, why sex arose (why don't we just bud?), and why we age and die. This understanding is of fundamental importance, both in understanding how we and all other complex life came to be, but also in order to be able to control our own illnesses, and delay our degeneration and death. 'An extraordinary account of groundbreaking modern science... The book abounds with interesting and important ideas.' Mark Ridley, Department of Zoology, University of Oxford",2006,4.24,354
79,Philosophical Investigations,"The German Text, with a Revised English Translation 50th Anniversary Commemorative Edition",Ludwig Wittgenstein,Philosophy,http://books.google.com/books/content?id=JoPYriJM1cwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Philosophical Investigations of Ludwig Wittgenstein (1889-1951) present his own distillation of two decades of intense work on the philosophies of mind, language and meaning.",1991,4.23,464
80,Conspiracy of Fools,A True Story,Kurt Eichenwald,Business & Economics,http://books.google.com/books/content?id=yGqAPG0YC0YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A study of the Enron scandal goes behind the scenes to profile the players and expose business practices involved in the financial and political debacle that had a profound impact on both Washington and Wall Street.,2005,4.22,784
81,EUGENE ONEGIN - A NOVEL IN VERSE V.1,A NOVEL IN VERSE,Aleksandr Sergeevich Pushkin,Literary Criticism,http://books.google.com/books/content?id=gNqtvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents Pushkin's poetic Russian classic about the heartless fop who is the object of an ardent young woman's selfless love.,1990,4.22,309
82,Let My People Go Surfing,The Education of a Reluctant Businessman,Yvon Chouinard,Business & Economics,http://books.google.com/books/content?id=sjBAfE-8-fQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The personal stories of the founder of Patagonia, Inc. describes his underprivileged childhood as an immigrant in southern California, early fame as a successful mountain climber, and company's dedication to quality and environmental responsibility. Reprint. 75,000 first printing.",2006,4.21,272
83,The Illustrated on the Shoulders of Giants,The Great Works of Physics and Astronomy,Stephen W. Hawking,Science,http://books.google.com/books/content?id=r1y3PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Hawking's revolutionary look at the scientific discoveries that changed people's perceptions of the world now comes complete with color photographs and illustrations depicting theoretical models of the planets and their orbits.,2005,4.2,256
84,Six Easy Pieces,Essentials Of Physics By Its Most Brilliant Teacher,Richard P. Feynman,Science,http://books.google.com/books/content?id=xerjugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Richard P. Feynman (1918–1988) was widely recognized as the most creative physicist of the post–World War II period. His career was extraordinarily expansive. From his contributions to the development of the atomic bomb a Los Alamos during World War II to his work in quantum electrodynamics, for which he was awarded the Nobel Prize in 1965, Feynman was celebrated for his brilliant and irreverent approach to physics.It was Feynman's outrageous and scintillating method of teaching that earned him legendary status among students and professors of physics. From 1961–1963, Feynman, at the California Institute of Technology, delivered a series of lectures that revolutionized the teaching of physics around the world. Six Easy Pieces, taken from the famous Lectures on Physics, represents the most accessible material from this series. In these six chapters, Feynman introduces the general reader to the following topics: atoms, basic physics, the relationship of physics to other topics, energy, gravitation, and quantum force. With his dazzling and inimitable wit, Feynman presents each discussion without equations or technical jargon.Readers will remember how—using ice water and rubber—Feynman demonstrated with stunning simplicity to a nationally televised audience the physics of the 1986 Challenger disaster. It is precisely this ability—the clear and direct illustration of complex theories—that made Richard Feynman one of the most distinguished educators in the world. Filled with wonderful examples and clever illustrations, Six Easy Pieces is the ideal introduction to the fundamentals of physics by one of the most admired and accessible scientists of our time.",1996,4.2,176
85,Think and Grow Rich,The Landmark Bestseller--now Revised and Updated for the 21st Century,Napoleon Hill;Arthur R. Pell,Business & Economics,http://books.google.com/books/content?id=HO-cnF0abjgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An updated edition of the best-selling guide features anecdotes about such modern figures as Bill Gates, Dave Thomas, and Sir John Templeton, explaining how their examples can enable modern readers to pursue wealth and overcome personal stumbling blocks. Original. 30,000 first printing.",2005,4.18,320
86,Parallel Worlds,"A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,Science,http://books.google.com/books/content?id=21NGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sheds new light on discoveries that have revolutionized the field of cosmology and transformed understanding of the universe, offering an explanation of the multiverse M-theory and its implications in terms of the fate of our own universe.",2006,4.18,361
87,Black Holes and Time Warps,Einstein's Outrageous Legacy,Kip Thorne;Kip S. Thorne;Stephen Hawking,Science,http://books.google.com/books/content?id=TZ2huhGjpMQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Examines such phenomena as black holes, wormholes, singularities, gravitational waves, and time machines, exploring the fundamental principles that control the universe.",1994,4.18,624
88,Think and Grow Rich: The 21st-Century Edition,Revised and Updated,Napoleon Hill,Business & Economics,http://books.google.com/books/content?id=wjgNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Audio Book- unabriged on CD,2004,4.18,368
89,The Authority,Under New Management,Warren Ellis;Bryan Hitch;Mark Millar;Frank Quitely,Science,http://books.google.com/books/content?id=da9_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Authority under Jenny Sparks, the Spirit of the 20th century, comes to a close as she battles a godlike alien invader. Following in her footsteps, Jenny Quantum, the Spirit of the 21st century, evades a diabolical super-genius and his army.",2000,4.16,200
90,Applied Economics,Thinking Beyond Stage One,Thomas Sowell,Business & Economics,http://books.google.com/books/content?id=2JqpPY5zXtMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A companion volume to Basic Economics discusses the application of economics to such world problems as medical care, discrimination, and the development of nations, examining economic policies in terms of their immediate and longer-term repercussions.",2004,4.14,256
91,Blues for Mister Charlie,A Play,James Baldwin,Drama,http://books.google.com/books/content?id=vd2JDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A drama focusing on the murder of a black youth by a white man in a Southern town and the racism and violent emotions it engenders.,1995,4.12,144
92,"Exit the King, The Killer, and Macbett",Three Plays,Eugène Ionesco,Drama,http://books.google.com/books/content?id=XoeGOqalOCkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents three plays by twentieth-century dramatist Eugene Ionesco, including ""Exit the King,"" which traces the final hours of the once-great King Berenger the First; ""The Killer,"" a study of pure evil; and ""Macbett,"" a spoof of the Shakespearean tragedy.",1985,4.11,105
93,"Aeschylus, 2","The Persians, Seven Against Thebes, The Suppliants, Prometheus Bound",Aeschylus,Drama,http://books.google.com/books/content?id=zVpENNx_3kwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""A boon for classicists and general readers alike. For the reader who comes to tragedy for the first time, these translations are eminently 'accessible,' and consummately American in tone and feeling. For the classicist, these versions constitute an ambitious reinterpretation of traditional masterpieces; after 2,500 years, the poetry of Euripides and Aeschylus has found a new voice—in fact, ten of them.""—The Boston Book Review",1998,4.1,232
94,Aeschylus: The suppliant maidens,"The Suppliant Maidens, The Persians, Seven Against Thebes and Prometheus Bound",Aeschylus;David Grene,Drama,http://books.google.com/books/content?id=gJCNNZE8INQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In nine paperback volumes, the Grene and Lattimore editions offer the most comprehensive selection of the Greek tragedies available in English. Over the years these authoritative, critically acclaimed editions have been the preferred choice of over three million readers for personal libraries and individual study as well as for classroom use.",1991,4.1,188
95,The Seven Habits of Highly Effective People,Restoring the Character Ethic,Stephen R. Covey,Business & Economics,http://books.google.com/books/content?id=4JAUkUM-EYUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A presentation of a holistic, integrated, principle-centered approach for solving personal and professional problems.",1990,4.09,368
96,Hard Drive,Bill Gates and the Making of the Microsoft Empire,James Wallace;Jim Erickson,Business & Economics,http://books.google.com/books/content?id=XdYOGBhp0SAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chronicles the career of ""Chairman Bill"" Gates, the computer whiz kid who commands the powerful Microsoft computer software empire.",1993,4.08,426
97,More Than You Know,Finding Financial Wisdom in Unconventional Places,Michael J. Mauboussin,Business & Economics,http://books.google.com/books/content?id=g6WlQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Mauboussin mines disciplines that are not normally associated with finance such as biology, physics, and psychology to help investors make better decisions and to argue for a new model of investment philosophy.",2006,4.08,268
98,The Dictionary of Corporate Bullshit,"An A to Z Lexicon of Empty, Enraging, and Just Plain Stupid Office Talk",Lois Beckwith,Business & Economics,http://books.google.com/books/content?id=NMYwmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A caustic collection of workplace jargon and and corporate terminology offers an alphabetically organized lexicon of terms and phrases, each of which is accompanied by a straight definition, as well as a series of alternate meanings. Original. 50,000 first printing.",2006,4.08,192
99,Having Our Say,The Delany Sisters' First 100 Years : a Play,Emily Mann;Sarah Louise Delany,Drama,http://books.google.com/books/content?id=nV6C8u9xmdcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"THE STORY: HAVING OUR SAY opens as 103-year-old Sadie Delany and 101-year-old Bessie Delany welcome us into their Mount Vernon, New York, home. As they prepare a celebratory dinner in remembrance of their father's birthday, they take us on a remark",1996,4.06,262
100,Roald Dahl's James and the giant peach,a play,Roald Dahl,Drama,http://books.google.com/books/content?id=bqoj_PS2knAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,James and his insect friends join in amazing adventures with a magical peach.,1990,4.04,91
