id,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages
11,Life Management for Busy Women,Growth and study guide,Elizabeth George,Religion,http://books.google.com/books/content?id=OdeIjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Women eager to bring simplicity to their busy lives will embrace the principles presented in this exciting study guide based on Elizabeth George's new Life Management for Busy Women. With clear and inspired steps for women eager to become better stewards of their time and their lives, this study guide complements all the major sections of the book, including: Spiritual Life: first things first Home Life: minding the stewardship of place Mental Life: minding your mind Easily adaptable to individual or group study, Life Management for Busy Women Growth and Study Guide will help women of all ages, in all stages of life, learn to see and follow God's blueprint for their lives.",2002,4.54,166
12,The Valley of Vision,A Collection of Puritan Prayers and Devotions,Arthur Bennett,Religion,http://books.google.com/books/content?id=RJ54MKLeQ3YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The strength of Puritan character and life lay in prayer and meditation. In this practice the spirit of prayer was regarded as of first importance and the best form of prayer, for living prayer is the characteristic of genuine spirituality. Yet prayer is also vocal and may therefore on occasions be written. Consequently in the Puritan tradition there are many written prayers and meditations which constitute an important corpus of inspiring devotional literature. From this source, Arthur Bennett has distilled the essence of many prayers and set out in modern form what he calls ""aspiration units, the several parts of which could become springboards for the individual's own prayer subjects."" - Back cover.",1975,4.53,223
13,Transcending the Levels of Consciousness,The Stairway of Enlightenment,David R. Hawkins,Religion,http://books.google.com/books/content?id=kXImmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explores the ego's expressions and inherent limitations and gives detailed explanations and instructions on how to transcend them. It expands the understanding of the levels of consciousness as presented in the wiedely-acclaimed Map of Consciousness. The book focuses on the individual, and studies the experiential subjective blocks to the advancement of awareness, at each level of consciousness. This leads to progressive spiritual awareness and on to higher levels of consciousness, providing specific steps for transcending each level, preparatory to advanced states such as Enlightenment itself. By analyzing the various obstacles and levels to be transcended, certain principles that support spiritual evolution are self-revealing. This book si therefore a practical manual rather than a comprehensive analysis.",2005,4.53,407
14,The Lord of the Rings,Weapons and Warfare,Chris Smith,Literary Criticism,http://books.google.com/books/content?id=Wu8x5MNS1rAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes in detail, with over one thousand photographs, the battles, armies, and armor used in the War of the Ring based on J.R.R. Tolkien's ""Lord of the Rings"" trilogy, including battle plans and character histories and descriptions.",2003,4.53,218
15,The Lord of the Rings,The Two Towers : Visual Companion,Jude Fisher,Fiction,http://books.google.com/books/content?id=_2qFvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explores the people, places, and ideas found in the motion picture adaptation of the second part of J.R.R. Tolkien's ""The Lord of the Rings.""",2002,4.51,72
16,I Am that,Talks with Sri Nisargadatta Maharaj,Sri Nisargadatta Maharaj;Sudhakar S. Dikshit,Philosophy,http://books.google.com/books/content?id=Fv_JPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This collection of the timeless teachings of one of the greatest sages of India, is a testament to the uniqueness of the seer's life and work. The book (now in its ninth printing) continues to draw new audiences and to enlighten anxious seekers for self-realisation. Sri Nisargadatta Maharaj was a teacher who did not propound any ideology or religion but gently unwrapped the mystery of the self. His message is simple, direct and yet sublime. The book preserves his dialogues with the followers who came from around the world seeking guidance in destroying false identities. The sage's sole concern was with human suffering and the ending of suffering. It was his mission to guide the individual to an understanding of his true nature and the timelessness of being. He taught that mind must recognise and penetrate its own state of being, not 'being this or that, here or there, then or now', but just timeless being. This is a legacy from a unique teacher who helps the reader to a clearer understanding of himself.",1999,4.51,531
17,Night Lives,Nine Stories of the Dark Fantastic,Phyllis Eisenstein;Alex Eisenstein,Fiction,http://books.google.com/books/content?id=VOgBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents a collection of nine short works of speculative fiction.,2003,4.5,307
18,Learning to Love,Exploring Solitude and Freedom,Thomas Merton,Religion,http://books.google.com/books/content?id=U0nXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Having embraced a life of solitude in his own hermitage, Thomas Merton finds his faith tested beyond his imagination when a visit to the hospital leads to a clandestine affair of the heart. Jolted out of his comfortable routine, Merton is forced to reassess his need for love and his commitment to celibacy and the monastic vocation.This astonishing volume traces Merton’s struggle to reconcile his unexpected love with his sacred vows while continuing to grapple with the burning social issues of the day – including racial conflicts, the war in Vietnam, and the Arab-Israeli conflict – visiting and corresponding with high-profile friends like Thich Nhat Hanh and Joan Baez, and further developing his writing career. Revealing Merton to be ‘very human’ in his chronicles of the ecstasy and torment of being in love, Learning to Love comes full circle as Merton recommits himself completely and more deeply to his vocation even as he recognizes ‘my need for love, my loneliness, my inner division, the struggle in which solitude is at once a problem and a ‘solution’. And perhaps not a perfect solution either’ (11 May, 1967).",1998,4.5,382
19,Children's Christmas Stories and Poems,In Easy-to-Read Type,Candace Ward,Juvenile Fiction,http://books.google.com/books/content?id=Iv4nK-EmQ3wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A shortened version of Dicken's ""A Christmas Carol"" is accompanied by Christmas stories, poems, and songs",2011,4.5,96
20,"The Collected Letters of C.S. Lewis, Volume 3","Narnia, Cambridge, and Joy, 1950 - 1963",C. S. Lewis,Biography & Autobiography,http://books.google.com/books/content?id=BCc6Aq5JaJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A final installment of a three-volume series is comprised of personal correspondences as penned during the final part of his life, a time during which he passed his days at Cambridge and wrote the Narnia chronicles.",2004,4.49,1840
21,The Fate of Reason,German Philosophy from Kant to Fichte,Frederick C. Beiser,Philosophy,http://books.google.com/books/content?id=3QUVngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Fate of Reason is the first general history devoted to the period between Kant and Fichte, one of the most revolutionary and fertile in modern philosophy. The philosophers of this time broke with the two central tenets of the modem Cartesian tradition: the authority of reason and the primacy of epistemology. They also witnessed the decline of the Aufkldrung, the completion of Kant's philosophy, and the beginnings of post-Kantian idealism. Thanks to Beiser we can newly appreciate the influence of Kant's critics on the development of his philosophy. Beiser brings the controversies, and the personalities who engaged in them, to life and tells a story that has uncanny parallels with the debates of the present.",1993,4.49,410
22,Diary Of Virginia Woolf Volume 5,Vol. 5 (1936-1941),Virginia Woolf,Biography & Autobiography,http://books.google.com/books/content?id=cbAnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Virginia Woolf was fifty-four on January 25, 1936, some three weeks after this final volume of her diary opens. Its last page was written four days before she drowned herself on March 28, 1941. Edited by Anne Olivier Bell, assisted by Andrew McNeillie; Index; maps.",1985,4.49,424
23,"Harry Bosch Novels, The: Volume 2","The Last Coyote, Trunk Music, Angels Flight",Michael Connelly,Fiction,http://books.google.com/books/content?id=rnDHlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Last Coyote: LAPD homicide detective Harry Bosch is suspended from the force for attacking his commanding officer. Unable to remain idle, he investigates the long-unsolved murder of a Hollywood prostitute. Trunk Music: Harry returns to the force to investigate the murder of a movie producer with Mafia ties. Up against both the LAPD's organized crime unit and the mob, Harry follows the money trail to Las Vegas, where the case becomes personal. Angels Flight: The murder of a prominent African-American attorney who made his career suing the police for racism and brutality means that Harry's friends and associates have become suspects; and he must work closely with longtime enemies suspicious of his maverick ways to investigate them. Together for the first time, these three chilling, pulse-pounding novels chart the volatile, breakneck career of the sleuth the New York Post calls ""the quintessential mystery book hero"" and prove that ""Michael Connelly's Harry Bosch novels are the most impressive body of work by any writer of crime thrillers now active"" (Washington Post).",2003,4.48,821
24,Harry Potter and Philosophy,If Aristotle Ran Hogwarts,David Baggett;Shawn Klein;William Irwin,Fiction,http://books.google.com/books/content?id=Gz8t2MttEQUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Urging readers of the Harry Potter series to dig deeper than wizards, boggarts, and dementors, the authors of this unique guide collect the musings of seventeen philosophers on the series, who cover a wide range of Potter-related philosophical issues, including the difference between good and evil, the ethics of sorcery, and Aristotle's own school for wizards. Original.",2004,4.48,243
25,Seabiscuit,The Saga of a Great Champion,B. K. Beckwith,Biography & Autobiography,http://books.google.com/books/content?id=DkFWAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Through first-hand accounts, chronicles the story of the legendary thoroughbred from his birth in Kentucky to his victory at Santa Anita, including anecdotes about the horse and those who cared for him.",2003,4.46,64
26,God's Generals,Why They Succeeded and why Some Failed,Roberts Liardon,Biography & Autobiography,http://books.google.com/books/content?id=jzUDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Recapture God's glory with twelve compelling spiritual biographies of some of the most powerful ministers to ever ignite the fires of revival! Revealing photographs help chronicle the lives of Aimee Sempte McPherson Smith Wigglesworth, Kathryn Kuhlman, William Seymour, and eight others. Draw crucial life applications for yourself from the lives of these mighty warriors.",2003,4.45,416
27,Always Enough,God's Miraculous Provision Among the Poorest Children on Earth,Rolland Baker;Heidi Baker,Religion,http://books.google.com/books/content?id=oPYCNFCUbGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Discover God's modern miracles on the mission field in Mozambique--and how you, too, can experience his limitless love and power!",2003,4.45,192
28,Lover Awakened,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,http://books.google.com/books/content?id=FoubDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Zsadist, the most feared member of the Black Dagger Brotherhood, rescues Bella from the evil Lessening Society, he is nearly driven insane by rage against her tormentors, and must confront his tortured past in order to have a future with this brave beauty who is his destiny. Original.",2006,4.45,448
29,Stars in Their Courses,"The Gettysburg Campaign, June-July 1863",Shelby Foote,History,http://books.google.com/books/content?id=vLza8sd4PXUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Recreates the Battle of Gettysburg from both the Confederate and Union perspectives,1994,4.45,304
30,More Plums in One,"Four to Score, High Five, and Hot Six",Janet Evanovich,Fiction,http://books.google.com/books/content?id=WeNcjH3eGpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a compilation of three novels, a bail jumper is pursued with the help of an ex-prostitute and a transvestite, the search for Stephanie's uncle is hampered by her gun-toting grandma, and Ranger disappears after being accused of murder.",2007,4.44,792
31,The Two Towers,Being the Second Part of The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=Bv6FxN76KeQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The standard hardcover edition of the second volume of The Lord of the Rings includes a large format fold-out map. Frodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin -- alone, that is, save for the mysterious creeping figure that follows wherever they go.",1994,4.44,328
32,The Two Towers,Being the Second Part of The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=wpCBdbLSmLcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After losing Gandalf and being divided from their other companions during an Orc attack, Frodo and Sam continue towards Mordor, Land of the Enemy, to destroy the Ring, accompanied only by a mysterious figure that follows them.",2004,4.44,413
33,The Border Trilogy,Picador Classic,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=QeGjwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Cormac McCarthy’s award-winning, bestselling trio of novels chronicles the coming-of-age of two young men in the south west of America. John Grady Cole and Billy Parham, two cowboys of the old school, are poised on the edge of a world about to change forever. Their journeys across the border into Mexico, each an adventure fraught with fear and pain, mark a passage into adulthood, and eventual salvation. In All the Pretty Horses, young John Grady Cole, dispossessed by the sale of his family’s Texas ranch, heads across the border in search of the cowboy life, where he finds a job breaking horses, and a dangerously ill-fated romance. In The Crossing, sixteen-year-old Billy Parham captures a wolf that has been marauding his family’s ranch and, instead of killing it, decides to take it on a perilous journey home to the mountains of Mexico.These two drifters come together years later in Cities of the Plain, a magnificent tale of friendship and passion. In the vanishing world of the Old West, blood and violence are conditions of life. Beautiful and brutal, filled with sorrow and humour, The Border Trilogy is both an epic love story and a fierce elegy for the American frontier.",2002,4.43,1038
34,Tucket's Travels,"Francis Tucket's Adventures in the West, 1847-1849",Gary Paulsen,Juvenile Fiction,http://books.google.com/books/content?id=M6Ru21OibroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Francis Tucket, traveling the Oregon trail on a wagon, has many adventures after being kidnapped by Pawnee Indians, including meeting a one-armed man, rescuing abandoned children, and enduring bandits and fierce storms on his trek home.",2003,4.43,560
35,C. S. Lewis,"Life, Works, and Legacy",Bruce L. Edwards,Literary Criticism,http://books.google.com/books/content?id=mAL6V-aM7KkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Examines the life and works of the British author and scholar, best known for his creation of ""The Chronicles of Narnia"" series.",2007,4.43,1416
36,"History of Religious Ideas, Volume 3",From Muhammad to the Age of Reforms,Mircea Eliade,Religion,http://books.google.com/books/content?id=rB6jwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This volume completes the immensely learned three-volume A History of Religious Ideas. Eliade examines the movement of Jewish thought out of ancient Eurasia, the Christian transformation of the Mediterranean area and Europe, and the rise and diffusion of Islam from approximately the sixth through the seventeenth centuries. Eliade's vast knowledge of past and present scholarship provides a synthesis that is unparalleled. In addition to reviewing recent interpretations of the individual traditions, he explores the interactions of the three religions and shows their continuing mutual influence to be subtle but unmistakable. As in his previous work, Eliade pays particular attention to heresies, folk beliefs, and cults of secret wisdom, such as alchemy and sorcery, and continues the discussion, begun in earlier volumes, of pre-Christian shamanistic practices in northern Europe and the syncretistic tradition of Tibetan Buddhism. These subcultures, he maintains, are as important as the better-known orthodoxies to a full understanding of Judaism, Christianity, and Islam.",1988,4.43,367
37,Band of Brothers,"E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,History,http://books.google.com/books/content?id=jlFL20cX9HIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Through soldiers' journals and letters, describes Easy Company's contributions to the campaigns in western Europe and recounts their stories of survival.",2002,4.43,432
38,The Last Lion,"Winston Spencer Churchill - Visions of Glory, 1874-1932",William Manchester,Biography & Autobiography,http://books.google.com/books/content?id=uxOzxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Describes the early life and political career of the British prime minister.,1984,4.43,992
39,The Glory and the Dream,"A Narrative History of America, 1932-1972",William Manchester,History,http://books.google.com/books/content?id=f9dOPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Explore's American history from the Great Depression, through two World Wars and Korea to the anti-war protests of Vietnam",1990,4.42,1397
40,Myths of Light,Eastern Metaphors of the Eternal,Joseph Campbell,Philosophy,http://books.google.com/books/content?id=OWdqt29UDGYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This previously unpublished title shows Campbell's remarkable mind engaged with a favorite topic, the myths and metaphors of Asian religions. The book collects seven lectures and articles ranging from the ancient Hindu Vedas to Zen koans, Tantric yoga, and the Tibetan Book of the Dead. Campbell conveys complex insights through warm, accessible storytelling, revealing the intricacies and secrets of his subjects with his typical enthusiasm.--From publisher description.",2003,4.42,224
41,"""Gorgias"" and ""Phaedrus""","Rhetoric, Philosophy, and Politics",Plato,Philosophy,http://books.google.com/books/content?id=vBmKQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With a masterful sense of the place of rhetoric in both thought and practice and an ear attuned to the clarity, natural simplicity, and charm of Plato's Greek prose, James H. Nichols Jr., offers precise yet unusually readable translations of two great Platonic dialogues on rhetoric. The Gorgias presents an intransigent argument that justice is superior to injustice: To the extent that suffering an injustice is preferable to committing an unjust act. The dialogue contains some of Plato's most significant and famous discussions of major political themes, and focuses dramatically and with unrivaled intensity on Socrates as a political thinker and actor. Featuring some of Plato's most soaringly lyrical passages, the Phaedrus investigates the soul's erotic longing and its relationship to the whole cosmos, as well as inquiring into the nature of rhetoric and the problem of writing. Nichols's attention to dramatic detail brings the dialogues to life. Plato's striking variety in conversational address (names and various terms of relative warmth and coolness) is carefully reproduced, as is alteration in tone and implication even in the short responses. The translations render references to the gods accurately and non-monotheistically for the first time, and include a fascinating variety of oaths and invocations. A general introduction on rhetoric from the Greeks to the present shows the problematic relation of rhetoric to philosophy and politics, states the themes that unite the two dialogues, and outlines interpretive suggestions that are then developed more fully for each dialogue. The twin dialogues reveal both the private and the political rhetoric emphatic in Plato's philosophy, yet often ignored in commentaries on it. Nichols believes that Plato's thought on rhetoric has been largely misunderstood, and he uses his translations as an opportunity to reconstruct the classical position on right relations between thought and public activity.",1998,4.41,233
42,Blink-182,Tales from Beneath Your Mom,Blink-182;Anne Hoppus;Tom Delonge;Mark Hoppus;Travis Barker,Biography & Autobiography,http://books.google.com/books/content?id=CzH6_3CiNMYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents a behind-the-scenes look at the band, including their life on the road, videos, and backstage antics.",2001,4.4,112
43,Shattered Sword,The Untold Story of the Battle of Midway,Jonathan B. Parshall;Anthony P. Tully,History,http://books.google.com/books/content?id=krvlaQ5PQOQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Told from the Japanese perspective, using largely Japanese sources, this volume represents the first substantive contribution to the West's understanding of Midway in more than a generation.",2005,4.4,612
44,Plato in twelve volumes,Symposium ; Gorgias. Lysis,Plato,Literary Criticism,http://books.google.com/books/content?id=tRaDAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Plato, the great philosopher of Athens, was born in 427 BCE. In early manhood an admirer of Socrates, he later founded the famous school of philosophy in the grove Academus. Much else recorded of his life is uncertain; that he left Athens for a time after Socrates' execution is probable; that later he went to Cyrene, Egypt, and Sicily is possible; that he was wealthy is likely; that he was critical of 'advanced' democracy is obvious. He lived to be 80 years old. Linguistic tests including those of computer science still try to establish the order of his extant philosophical dialogues, written in splendid prose and revealing Socrates' mind fused with Plato's thought. In Laches, Charmides, and Lysis, Socrates and others discuss separate ethical conceptions. Protagoras, Ion, and Meno discuss whether righteousness can be taught. In Gorgias, Socrates is estranged from his city's thought, and his fate is impending. The Apology (not a dialogue), Crito, Euthyphro, and the unforgettable Phaedo relate the trial and death of Socrates and propound the immortality of the soul. In the famous Symposium and Phaedrus, written when Socrates was still alive, we find the origin and meaning of love. Cratylus discusses the nature of language. The great masterpiece in ten books, the Republic, concerns righteousness (and involves education, equality of the sexes, the structure of society, and abolition of slavery). Of the six so-called dialectical dialogues Euthydemus deals with philosophy; metaphysical Parmenides is about general concepts and absolute being; Theaetetus reasons about the theory of knowledge. Of its sequels, Sophist deals with not-being; Politicus with good and bad statesmanship and governments; Philebus with what is good. The Timaeus seeks the origin of the visible universe out of abstract geometrical elements. The unfinished Critias treats of lost Atlantis. Unfinished also is Plato's last work of the twelve books of Laws (Socrates is absent from it), a critical discussion of principles of law which Plato thought the Greeks might accept. The Loeb Classical Library edition of Plato is in twelve volumes.",1975,4.39,560
45,Stormie,A Story of Forgiveness and Healing,Stormie Omartian,Biography & Autobiography,http://books.google.com/books/content?id=3K7EjGtQ4aEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"When Catechism of the Catholic Church broke onto the N.Y. Times bestseller list, its astonishing success confirmed the overwhelming interest of Catholics and Protestants in understanding modern Catholicism. Has the recent openness among denominations affected Catholic teachings? In the new spirit of cooperation, is there any reason why Catholics and Protestants should remain divided? This powerful and insightful examination of the Catholic Church provides: a side-by-side comparison of Scripture with the first new worldwide Catholic catechism in 400 years a summary of how modern Catholicism views grace, works, and heaven 24 ways the Catholic plan of salvation still stands in contrast to biblical truth a balanced overview of how the authority structure of the Roman Catholic Church compares with that of the New Testament church an explanation of how participation in the Mass and other sacraments is inconsistent with faith in Christ as Savior Clear, accurate, significant information to know and share--The Gospel According to Rome",1997,4.39,192
46,Selections from Homer's Iliad,"With an Introduction, Notes, a Short Homeric Grammar, and a Vocabulary",Homer,Literary Criticism,http://books.google.com/books/content?id=nY-5r76h7SwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"First published in 1903, Selections from Homer's Iliad has become a classic Greek textbook. Allen Rogers Benner presents selections from twelve books of the Iliad in both Greek and English and short summaries that help students understand the Iliad as a work of literature and art.",2001,4.39,522
47,Maus II,a survivor's tale : and here my troubles began,Art Spiegelman,Biography & Autobiography,http://books.google.com/books/content?id=2hGxd5wQhRsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a comic-book-style tale of the author's parents, Vladek and Anja, Vladek survives Auschwitz, is reunited with Anja, and sires young Art",1991,4.39,144
48,Enchanted Evening,Volume III of the Autobiography of M. M. Kaye,M. M. Kaye,Biography & Autobiography,http://books.google.com/books/content?id=tsNdSys-9FMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author concludes her autobiography with stories of her life in England, India, and China in the years between the two World Wars.",2000,4.38,368
49,Where the Red Fern Grows,The Story of Two Dogs and a Boy : with Connections,Wilson Rawls,Juvenile Fiction,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young boy living in the Ozarks achieves his heart's desire when he becomes the owner of two redbone hounds and teaches them to be champion hunters.,2000,4.37,288
50,Shakespeare A to Z,"The Essential Reference to His Plays, His Poems, His Life and Times, and More",Charles Boyce;David Allen White,Drama,http://books.google.com/books/content?id=FxgBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Brer Rabbit will never learn! He loves to play jokes, tricks and set traps for his friends - but once in a while, they beat him at his own game! These timeless stories of the briar patch trickster are re-told in Blyton's hugely popular and successful style. This collection contains many Brer Rabbit stories from the books Enid Blyton's Brer Rabbit Book, Brer Rabbit Again and Brer Rabbit's a Rascal.",1991,4.35,752
51,Epictetus,"the Discourses as reported by Arrian, the Manual, and fragments",Epictetus,Philosophy,http://books.google.com/books/content?id=ya9fAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"These volumes contain the teachings (""Discourses"") of the slave-philosopher Epictetus (55 A.D-135 AD). Also included in volume 2 are ""Fragments"", additional pieces from other (now lost) books of the ""Discourses""; and ""The Encheirdion"", a collection of practical precepts for stoicism which can be seen as a handbook for life.",1967,4.35,576
52,Battle Cry of Freedom,The Civil War Era,James M. McPherson,History,http://books.google.com/books/content?id=09FkZqu_YcMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Filled with fresh interpretations and information, puncturing old myths and challenging new ones, Battle Cry of Freedom will unquestionably become the standard one-volume history of the Civil War. James McPherson's fast-paced narrative fully integrates the political, social, and military events that crowded the two decades from the outbreak of one war in Mexico to the ending of another at Appomattox. Packed with drama and analytical insight, the book vividly recounts the momentous episodes that preceded the Civil War—the Dred Scott decision, the Lincoln-Douglas debates, John Brown's raid on Harper's Ferry—and then moves into a masterful chronicle of the war itself—the battles, the strategic maneuvering on both sides, the politics, and the personalities.",2005,4.34,867
53,A Farewell to Arms?,"Beyond the Good Friday Agreement, Second Edition",Michael Cox;Adrian Guelke;Fiona Stephen,History,http://books.google.com/books/content?id=G5wuwrmrdWoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Neither naively optimistic nor hopelessley pessimistic, this collection of writings by experts on the history of the troubles in Northern Ireland paints a realistic picture of the peace processes that have dotted the province's landscape.",2006,4.33,624
54,Mapping the World of Harry Potter,Science Fiction and Fantasy Writers Explore the Best Selling Fantasy Series of All Time,Mercedes Lackey;Leah Wilson,Literary Criticism,http://books.google.com/books/content?id=Vbn7ugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents a collection of critiques of the works of J. K. Rowling, covering the topics and characters found in the Harry Potter books.",2006,4.32,195
55,Six Frigates,The Epic History of the Founding of the U.S. Navy,Ian W. Toll,History,http://books.google.com/books/content?id=q9xfGcwEEqMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes the origins and early history of the American Navy, discussing the debates by the founding fathers over the need for a permanent military, the decision to construct six heavy frigates, the campaign against Tripoli, and the war of 1812, including the confrontation between the USS Constitution and HMS Guerriere that raised the U.S. to a global power. 70,000 first printing.",2006,4.32,560
56,Japan at War,An Oral History,Haruko Taya Cook;Theodore F. Cook,History,http://books.google.com/books/content?id=rbqEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Recounts the conflict and documents the huge range of experiences by Japanese soldiers, laborers, journalists, artists, musicians, and women who lived through World War II",1992,4.32,493
57,The Code Book,The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,History,http://books.google.com/books/content?id=skt7TrLK5uYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Includes a history of how codes have affected the world, from the World Wars to the death of Mary, Queen of Scots, and also looks at what the future holds for the field of cryptography.",2000,4.31,412
58,The Writer of Modern Life,Essays on Charles Baudelaire,Walter Benjamin,Literary Criticism,http://books.google.com/books/content?id=H5P5SM0gNYUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In these essays, Benjamin challenges the image of Baudelaire as late-Romantic dreamer, and evokes instead the modern poet caught in a life-or-death struggle with the forces of the urban commodity capitalism that had emerged in Paris around 1850.",2006,4.3,307
59,Tom Stoppard: Plays 5,"Aracadia, The Real Thing, Night & Day, Indian Ink, Hapgood",Tom Stoppard,Drama,http://books.google.com/books/content?id=sR0YSeUweGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Plays Five: Arcadia The Real Thing Night & Day Indian Ink Hapgood This fifth collection of Tom Stoppard's plays brings together five classic plays by one of the most celebrated dramatists writing in the English language. Arcadia received the Evening Standard, the Oliver, and the Critics Awards and The Real Thing won a Tony Award.",1999,4.3,608
60,Tsubasa,vol. 7,CLAMP (Mangaka group),Juvenile Fiction,http://books.google.com/books/content?id=kuh6tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sakura, the princess of Clow, has a strange power that could change the world, and lives in an alternate-reality world with her childhood friend Syaoran, with whom she begins a series of journeys to other worlds.",2005,4.29,194
